Algorithm,Time,Distance,Distance from Goal,Path Deviation,Original Distance from Goal,Trajectory Smoothness,Obstacle Clearance,Search Space,Memory
Dijkstra,0.016012,2.8284270763397217,0.0,0.0,2.828427,0.0,6.0,12.890625,21.785
Dijkstra,0.024028,3.8284270763397217,0.0,0.0,3.6055512,0.19634953657079435,2.368033988749895,14.0625,23.721
Dijkstra,0.177466,10.485281229019165,0.0,0.0,10.0,0.17453292139626164,1.4904681735970107,78.515625,91.08
Dijkstra,0.146529,12.828427076339722,0.0,0.0,11.045361,0.18124572869831337,1.2807908876825296,67.96875,85.761
Dijkstra,0.063997,6.2426406145095825,0.0,0.0,5.8309517,0.2617993935039064,2.0,42.1875,56.977
Dijkstra,0.112523,7.828427076339722,0.0,0.0,7.28011,0.09817476828539717,2.720978616954046,67.96875,84.097
Dijkstra,0.16026,12.242640614509583,0.0,0.0,10.0,0.19634954227555132,1.8255095296008133,85.15625,95.881
Dijkstra,0.097675,9.41421353816986,0.0,0.0,8.246211,0.15707963267948966,2.3823028822792915,58.59375,69.385
Dijkstra,0.012037,3.0,0.0,0.0,3.0,0.0,1.8090169943749475,12.890625,21.865
Dijkstra,0.129549,13.071067690849304,0.0,0.0,8.246211,0.2617993877991494,1.3333333333333333,71.484375,87.977
Dijkstra,0.190074,13.242640614509583,0.0,0.0,12.369317,0.060415242021782875,6.53439412968274,75.390625,91.417
Dijkstra,0.120516,8.071067690849304,0.0,0.0,7.81025,0.11219974007310274,2.4285714285714284,72.265625,87.212
Dijkstra,0.076317,5.828427076339722,0.0,0.0,5.3851647,0.13089969104719623,6.057908728966317,42.1875,57.217
Dijkstra,0.147576,12.071067690849304,0.0,0.0,11.18034,0.07139983459197446,4.962835970432331,75.390625,89.721
Dijkstra,0.063596,6.828427076339722,0.0,0.0,6.3245554,0.11219974007310274,4.608756739108737,39.0625,55.081
Dijkstra,0.022,4.0,0.0,0.0,4.0,0.0,5.543652090601087,17.96875,28.929
Dijkstra,0.029431,5.2426406145095825,0.0,0.0,5.0,0.1570796292566355,3.6305964890165896,23.828125,33.369
Dijkstra,0.022635,3.414213538169861,0.0,0.0,3.1622777,0.19634953657079435,2.5,17.578125,28.953
Dijkstra,0.109305,12.899494767189026,0.0,0.0,12.206555,0.07139983459197446,3.300867871854228,66.015625,74.361
Dijkstra,0.05236,6.414213538169861,0.0,0.0,6.0827627,0.11219974007310274,5.422600302894298,33.59375,45.681
Dijkstra,0.148764,11.071067690849304,0.0,0.0,10.29563,0.07853981462831774,2.8812559200041266,67.96875,84.769
Dijkstra,0.065554,8.071067690849304,0.0,0.0,7.81025,0.11219974007310274,1.9668327050903385,36.71875,47.449
Dijkstra,0.151529,10.242640614509583,0.0,0.0,9.486833,0.23561945415351576,1.8064495102245979,76.171875,89.881
Dijkstra,0.037391,5.2426406145095825,0.0,0.0,5.0,0.1570796292566355,7.290739161502256,31.25,38.537
Dijkstra,0.075506,11.828427076339722,0.0,0.0,11.0,0.1963495451279298,2.8177132666701055,50.0,64.241
Dijkstra,0.007007,1.4142135381698608,0.0,0.0,1.4142135,0.0,2.5,7.421875,15.697
Dijkstra,0.112005,13.828427076339722,0.0,0.0,13.152946,0.11219973518331106,2.5998254827736034,67.96875,86.641
Dijkstra,0.165279,14.242640614509583,0.0,0.0,13.341664,0.11219974007310274,2.6618654301824223,80.859375,94.361
Dijkstra,0.132485,11.0,0.0,0.0,11.0,0.0,1.4125703849682214,80.46875,93.841
Dijkstra,0.009996,1.4142135381698608,0.0,0.0,1.4142135,0.0,5.5,8.984375,24.067
Dijkstra,0.123796,26.071067690849304,0.0,0.0,16.643316,0.09424778029226463,2.3067639181767867,64.84375,220.505
Dijkstra,0.008007,2.0,0.0,0.0,2.0,0.0,5.393952027490282,5.859375,21.657
Dijkstra,0.086551,9.828427076339722,0.0,0.0,9.219544,0.07853981462831774,2.848917828737073,51.5625,73.961
Dijkstra,0.135316,9.828427076339722,0.0,0.0,9.219544,0.07853981805117191,2.122677276241436,66.015625,74.049
Dijkstra,0.091862,13.485281229019165,0.0,0.0,12.206555,0.19634954227555132,2.3687235987603956,38.28125,56.553
Dijkstra,0.046635,5.2426406145095825,0.0,0.0,5.0,0.15707963610234382,3.0,27.34375,36.201
Dijkstra,0.107573,7.071067690849304,0.0,0.0,7.071068,0.0,6.546465554663977,65.234375,73.169
Dijkstra,0.014004,2.414213538169861,0.0,0.0,2.236068,0.26179938209439246,4.2235160309735145,12.109375,21.619
Dijkstra,0.115415,10.899494767189026,0.0,0.0,10.630146,0.08726646450130213,5.499609537412669,75.78125,89.641
Dijkstra,0.155131,16.656854152679443,0.0,0.0,12.206555,0.24543692927062838,1.4516732976508975,83.984375,97.105
Dijkstra,0.066523,10.242640614509583,0.0,0.0,9.486833,0.07853981462831774,4.4,30.859375,39.577
Dijkstra,0.112414,9.828427076339722,0.0,0.0,9.219544,0.07853981462831774,1.8650281539872886,66.015625,74.257
